ダウンロード実行日,2014年01月26日現在,件数,10135件
ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード
"E00115","内国法人・組合","上場","有","8494"," 3月31日","日本電設工業株式会社","NIPPON DENSETSU KOGYO CO.,LTD","ニッポンデンセツコウギョウカブシキガイシャ","台東区池之端一丁目２番２３号","建設業","19500"
"E00116","内国法人・組合","上場","有","1120"," 3月31日","技研興業株式会社","Giken Kogyo CO.,LTD","ギケンコウギョウカブシキガイシャ","杉並区阿佐谷南三丁目７番２号","建設業","97640"
"E00117","内国法人・組合","上場","無","4301"," 3月31日","株式会社イチケン","ICHIKEN Co., Ltd.","カブシキガイシャイチケン","台東区北上野二丁目２３番５号","建設業","18470"
"E00118","内国法人・組合","上場","有","2000"," 3月31日","南海辰村建設株式会社","Nankai Tatsumura Construction Co., Ltd.","ナンカイタツムラケンセツカブシキガイシャ","大阪市浪速区難波中三丁目５番１９号","建設業","18500"
"E00119","内国法人・組合","上場","有","6176"," 3月31日","中外炉工業株式会社","Chugai Ro Co.,Ltd.","チュウガイロコウギョウカブシキガイシャ","大阪市中央区平野町３丁目６番１号","建設業","19640"
"E00120","内国法人・組合","上場","有","8419"," 3月31日","株式会社淺沼組","ASANUMA CORPORATION","カブシキガイシャアサヌマグミ","大阪市天王寺区東高津町１２番６号","建設業","18520"
"E00121","内国法人・組合","上場","有","1886"," 3月31日","佐田建設株式会社","Sata Construction Co.,Ltd.","サタケンセツカブシキガイシャ","前橋市元総社町一丁目１番地の７","建設業","18260"
"E00124","内国法人・組合","非上場","無","909"," 3月31日","和興エンジニアリング株式会社","WAKO ENGINEERING CORP.","ワコウエンジニアリングカブシキガイシャ","大田区平和島四丁目１番２３号","建設業",""
"E00126","内国法人・組合（有価証券報告書等の提出義務者以外）","","","","","株式会社新井組","","カブシキガイシャアライグミ","西宮市池田町１２番２０号","内国法人・組合（有価証券報告書等の提出義務者以外）",""
"E00127","内国法人・組合","上場","有","1493"," 3月31日","日本電通株式会社","NIPPON DENTSU CO.,LTD.","ニッポンデンツウカブシキガイシャ","大阪市港区磯路２丁目２１番１号","建設業","19310"
"E00129","内国法人・組合","上場","有","5676"," 3月31日","ＮＤＳ株式会社","NDS CO.,LTD.","エヌディエスカブシキガイシャ","名古屋市中区千代田二丁目１５番１８号","建設業","19560"
"E00130","内国法人・組合","上場","有","1640"," 3月31日","株式会社　森組","Mori-Gumi Co.,Ltd.","カブシキガイシャ　モリグミ","大阪市中央区道修町４丁目５番１７号","建設業","18530"
"E00133","内国法人・組合","上場","有","1000","12月31日","金下建設株式会社","The Kaneshita Construction Co.,Ltd.","カネシタケンセツカブシキガイシャ","宮津市字須津４７１番地の１","建設業","18970"
"E00135","内国法人・組合","非上場","有","1091"," 3月31日","新生テクノス株式会社","shinsei technos co., ltd.","シンセイテクノスカブシキガイシャ","港区芝公園二丁目４番１号","建設業",""
"E00137","内国法人・組合","上場","有","7803"," 3月31日","株式会社ユアテック","YURTEC CORPORATION","カブシキガイシャユアテック","仙台市宮城野区榴岡４丁目１番１号","建設業","19340"
"E00138","内国法人・組合","上場","有","5000"," 3月20日","株式会社ヤマト","YAMATO CORPORATION","カブシキガイシャヤマト","前橋市古市町１１８番地","建設業","19670"
"E00139","内国法人・組合","非上場","有","11305"," 3月31日","大成ロテック株式会社","TAISEI ROTEC CORPORATION","タイセイロテックカブシキガイシャ","中央区京橋三丁目１３番１号有楽ビル内","建設業",""
"E00142","内国法人・組合","上場","有","6052"," 3月31日","日特建設株式会社","NITTOC CONSTRUCTION CO.,LTD.","ニットクケンセツカブシキガイシャ","中央区銀座８丁目１４番１４号","建設業","19290"
"E00143","内国法人・組合","上場","有","186554"," 1月31日","積水ハウス株式会社","Sekisui House,Ltd.","セキスイハウスカブシキガイシャ","大阪市北区大淀中一丁目１番８８号","建設業","19280"
"E00144","内国法人・組合","非上場","有","300"," 3月31日","松尾建設株式会社","matsuo construction co.,ltd.","マツオケンセツカブシキガイシャ","佐賀市八幡小路１番１０号","建設業",""
"E00146","内国法人・組合","上場","有","7901"," 3月31日","株式会社九電工","KYUDENKO CORPORATION","カブシキガイシャキュウデンコウ","福岡市南区那の川一丁目２３番３５号","建設業","19590"
"E00147","内国法人・組合","上場","有","23001"," 3月31日","戸田建設株式会社","TODA CORPORATION","トダケンセツカブシキガイシャ","中央区京橋１－７－１","建設業","18600"
"E00148","内国法人・組合","上場","有","6808"," 3月31日","矢作建設工業株式会社","YAHAGI CONSTRUCTION CO.,LTD.","ヤハギケンセツコウギョウカブシキガイシャ","名古屋市東区葵三丁目１９番７号","建設業","18700"
"E00149","内国法人・組合","上場","有","13134"," 3月31日","高砂熱学工業株式会社","Takasago Thermal Engineering Co.,Ltd.","タカサゴネツガクコウギョウカブシキガイシャ","千代田区神田駿河台４丁目２番地５","建設業","19690"
"E00150","内国法人・組合","非上場","有","12000"," 3月31日","株式会社日立プラントテクノロジー","Hitachi Plant Technologies, Ltd.","カブシキガイシャヒタチプラントテクノロジー","豊島区東池袋四丁目５番２号","建設業",""
"E00153","内国法人・組合","上場","有","3857"," 3月31日","株式会社朝日工業社","ASAHI KOGYOSHA CO.,LTD.","カブシキガイシャアサヒコウギョウシャ","港区浜松町１丁目２５番７号","建設業","19750"
"E00154","内国法人・組合","非上場","有","1432"," 3月31日","株式会社つうけん","TSUKEN CORPORATION","カブシキガイシャツウケン","札幌市白石区本通１９丁目南６番８号","建設業",""
"E00156","内国法人・組合","上場","有","6293"," 3月31日","大林道路株式会社","OBAYASHI ROAD CORPORATION","オオバヤシドウロカブシキカイシャ","墨田区堤通一丁目１９番の９号","建設業","18960"
"E00157","内国法人・組合","上場","有","9812"," 3月31日","都築電気株式会社","TSUZUKI DENKI CO., LTD.","ツヅキデンキカブシキガイシャ","港区新橋六丁目１９番１５号","卸売業","81570"
"E00161","内国法人・組合","上場","有","6889"," 3月31日","明星工業株式会社","MEISEI INDUSTRIAL Co.,Ltd.","メイセイコウギョウカブシキガイシャ","大阪市西区京町堀１丁目８番５号","建設業","19760"
"E00162","内国法人・組合","非上場","有","4000"," 3月31日","鹿島道路株式会社","KAJIMA ROAD CO.,LTD.","カジマドウロカブシキガイシャ","文京区後楽１－７－２７","建設業",""
"E00165","内国法人・組合","上場","有","2000"," 3月31日","株式会社ＲＩＳＥ","RISE Inc.","カブシキガイシャライズ","千代田区神田神保町二丁目３番地１　岩波書店アネックス６階","不動産業","88360"
"E00167","内国法人・組合","上場","有","1751"," 3月31日","株式会社佐藤渡辺","WATANABE SATO CO., LTD.","カブシキガイシャサトウワタナベ","港区南麻布一丁目１８番４号","建設業","18070"
"E00168","内国法人・組合","上場","有","5753"," 3月31日","日比谷総合設備株式会社","Hibiya Engineering,Ltd.","ヒビヤソウゴウセツビカブシキガイシャ","港区芝浦四丁目２番８号","建設業","19820"
"E00169","内国法人・組合","非上場","有","50000","12月31日","株式会社竹中工務店","TAKENAKA CORPORATION","カブシキガイシャタケナカコウムテン","大阪市中央区本町四丁目１番１３号","建設業",""
"E00170","内国法人・組合","上場","有","9065"," 2月末日","株式会社ヤマダ・エスバイエルホーム","YAMADA SXL HOME CO.,LTD.","カブシキガイシャヤマダエスバイエルホーム","大阪市北区天満橋１－８－３０　ＯＡＰタワー５階","建設業","19190"
"E00173","内国法人・組合","上場","有","1190"," 3月31日","株式会社サンテック","Sanyo Engineering & Construction Inc.","カブシキガイシャサンテック","千代田区二番町３番地１３","建設業","19600"
"E00174","内国法人・組合","上場","有","5000"," 3月31日","青木あすなろ建設株式会社","Asunaro Aoki Construction Co.,Ltd.","アオキアスナロケンセツカブシキガイシャ","港区芝四丁目８－２","建設業","18650"
"E00175","内国法人・組合","上場","有","9116"," 3月31日","北野建設株式会社","KITANO CONSTRUCTION CORP.","キタノケンセツカブシキガイシャ","長野市県町５２４番地","建設業","18660"
"E00176","内国法人・組合","上場","有","2000"," 3月31日","世紀東急工業株式会社","SEIKITOKYU KOGYO CO.,LTD.","セイキトウキュウコウギョウカブシキガイシャ","港区芝公園二丁目９番３号","建設業","18980"
"E00177","内国法人・組合","非上場","有","1098"," 9月30日","池野通建株式会社","IKENO TSUKEN CO.,Ltd.","イケノツウケンカブシキガイシャ","北区岸町１丁目９番４号","建設業",""
"E00178","内国法人・組合","上場","無","7002"," 3月31日","日成ビルド工業株式会社","NISSEI BUILD KOGYO CO.,LTD.","ニッセイビルドコウギョウカブシキガイシャ","金沢市金石北３丁目１６番１０号","建設業","19160"
"E00179","内国法人・組合","上場","有","5315"," 3月31日","株式会社植木組","UEKI  CORPORATION","カブシキガイシャウエキグミ","柏崎市新橋２番８号","建設業","18670"
"E00181","内国法人・組合","上場","有","3451"," 3月31日","株式会社四電工","YONDENKO CORPORATION","カブシキガイシャヨンデンコウ","高松市松島町１丁目１１番２２号","建設業","19390"
"E00182","内国法人・組合","上場","無","1310"," 3月31日","神田通信機株式会社","KANDA TSUSHINKI CO.,LTD.","カンダツウシンキカブシキガイシャ","千代田区神田富山町２４番地","建設業","19920"
"E00183","内国法人・組合","上場","有","6455"," 3月31日","株式会社大気社","Taikisha Ltd.","カブシキガイシャタイキシャ","新宿区西新宿八丁目１７番１号","建設業","19790"
"E00184","内国法人・組合","上場","有","1600"," 3月31日","西部電気工業株式会社","Seibu Electric Industry Co.,Ltd.","セイブデンキコウギョウカブシキガイシャ","福岡市博多区博多駅東三丁目７番１号","建設業","19370"
"E00185","内国法人・組合","上場","有","1430"," 3月31日","日本リーテック株式会社","NIPPON RIETEC CO.,LTD.","ニッポンリーテックカブシキガイシャ","千代田区神田錦町一丁目６番地","建設業","19380"
"E00186","内国法人・組合","上場","有","1835"," 3月31日","アタカ大機株式会社","Daiki Ataka Engineering Co., Ltd.","アタカダイキカブシキガイシャ","大阪市此花区西九条五丁目３番２８号","機械","19780"
"E00187","内国法人・組合","上場","有","1004"," 3月31日","日建工学株式会社","NIKKEN KOGAKU CO., LTD.","ニッケンコウガクカブシキガイシャ","新宿区西新宿６丁目１０番１号","サービス業","97670"
"E00189","内国法人・組合","上場","無","590"," 3月31日","株式会社協和日成","KYOWANISSEI CO.,LTD.","カブシキガイシャキョウワニッセイ","渋谷区神南一丁目８番１０号","建設業","19810"
